,Name,Year,release_speed,release_spin_rate,release_extension,release_pos_x,release_pos_y,release_pos_z,spin_axis
0,Andrew Abbott,24,87.703125,2390.3368055555557,6.656597222222222,1.7545833333333334,53.84489583333333,5.9177430555555555,196.25347222222223
1,Alaska Abney,24,85.175,2288.75,6.8999999999999995,-2.2983333333333333,53.615833333333335,3.4616666666666664,213.16666666666666
2,Bryan Abreu,24,91.95530726256983,2618.6256983240223,6.562569832402235,-2.0830167597765366,53.93860335195531,5.661675977653631,140.40782122905028
3,Jason Adam,24,89.26058823529411,2540.7810650887573,6.61235294117647,-1.265705882352941,53.889529411764705,6.11935294117647,163.60355029585799
4,Austin Adams,24,88.8591304347826,2918.4434782608696,5.827826086956522,-3.4846086956521742,54.67295652173913,5.133304347826087,96.94782608695652
5,Joan Adon,24,90.91527777777777,2106.1111111111113,6.879166666666666,-2.0370833333333334,53.62041666666667,5.826944444444445,205.20833333333334
6,Melvin Adón,24,94.12,2481.32,6.032,-2.248,54.4732,5.966799999999999,178.96
7,Zach Agnos,24,,,,,,,
8,Keegan Akin,24,89.01574803149606,2397.267716535433,5.9346456692913385,2.58251968503937,54.566220472440946,5.860314960629921,180.46456692913387
9,Jorge Alcala,24,91.35159574468085,2433.1612903225805,5.814893617021277,-2.813031914893617,54.68558510638297,6.598351063829787,188.56989247311827
10,Tyler Alexander,24,84.34367816091954,2186.7892720306513,6.239463601532567,1.374712643678161,54.259233716475094,5.744061302681993,179.58620689655172
11,Peyton Alford,24,87.63333333333333,2244.3333333333335,5.766666666666667,1.0166666666666666,54.73666666666667,5.713333333333334,171.66666666666666
12,Kolby Allard,24,86.22702702702703,2001.4864864864865,6.035135135135135,1.7602702702702702,54.46594594594595,5.314324324324324,182.56756756756758
13,Logan Allen,24,86.13848167539267,1953.1780104712043,6.3437172774869115,1.885523560209424,54.155602094240834,5.413376963350785,185.13089005235602
14,Yency Almonte,24,89.49941520467836,2296.2748538011697,6.669411764705882,-1.4153801169590643,53.833216374269,5.811286549707602,171.2046783625731
15,Dan Altavilla,24,,,,,,,
16,Elvis Alvarado,24,94.290625,2138.03125,5.6,-2.5503125,54.8940625,5.0809375,216.75
17,José Alvarado,24,96.66703910614525,2146.0561797752807,6.80391061452514,1.1329608938547486,53.69541899441341,6.705307262569832,156.91573033707866
18,Nelson L. Alvarez,24,84.74,2364.0,6.51,-1.7440000000000002,53.997,6.220000000000001,127.1
19,Adbert Alzolay,24,90.30454545454545,2431.8571428571427,6.474025974025974,-1.248896103896104,54.02779220779221,6.256103896103896,169.9935064935065
20,Chase Anderson,24,87.29551569506727,2283.4439461883408,5.76457399103139,-1.38847533632287,54.734708520179375,5.8853811659192825,187.1928251121076
21,Drew Anderson,24,91.04814814814816,2410.037037037037,6.462962962962963,-1.748888888888889,54.035740740740735,5.654814814814815,158.8148148148148
22,Grant Anderson,24,87.3258620689655,2249.155172413793,6.441379310344828,-2.066551724137931,54.05758620689655,4.338620689655172,190.81034482758622
23,Justin Anderson,24,91.69111111111111,2281.5333333333333,6.8244444444444445,-2.6924444444444444,53.674,5.782,148.82222222222222
24,Nick Anderson,24,87.13516483516484,2048.5164835164837,6.083516483516484,-0.7441758241758242,54.41516483516483,6.5285714285714285,140.36263736263737
25,Tyler Anderson,24,84.63183520599252,2095.6779026217228,6.2026315789473685,1.4605243445692884,54.29651685393259,6.2897378277153555,154.89138576779027
26,Clayton Andrews,24,86.90869565217392,2188.782608695652,5.452173913043478,2.594130434782609,55.05478260869565,5.3376086956521736,162.54347826086956
27,Tanner Andrews,24,,,,,,,
28,Matt Andriese,24,88.07222222222222,2388.3888888888887,6.323611111111111,-2.4831944444444445,54.17611111111111,5.723888888888889,191.36111111111111
29,Tejay Antone,24,88.84893617021275,2530.340425531915,6.370212765957446,-2.6661702127659574,54.13170212765957,5.859574468085106,162.68085106382978
30,Luis Arejula,24,,,,,,,
31,Luarbert Arias,24,84.625,2245.5,6.075,-1.015,54.4225,5.96,170.75
32,Michael Arias,24,,,,,,,
33,Shawn Armstrong,24,91.35588235294118,2351.2714285714287,6.623529411764705,-1.733,53.87882352941176,5.792058823529412,196.25714285714287
34,Spencer Arrighetti,24,88.25481927710842,2536.369696969697,7.371686746987952,-1.122710843373494,53.12939759036144,5.064698795180723,163.88484848484848
35,Konnor Ash,24,89.84,2046.7,5.64,-0.372,54.876999999999995,6.640000000000001,155.1
36,Aaron Ashby,24,88.69573170731708,2059.0858895705524,5.1518292682926825,0.9975,55.35341463414633,6.401707317073171,174.53374233128835
37,Graham Ashcraft,24,93.30069444444445,2481.1041666666665,5.545138888888889,-0.6334722222222222,54.95770833333333,6.261354166666667,162.88541666666666
38,Keyshawn Askew,24,89.54285714285713,2059.8571428571427,6.757142857142857,2.8442857142857143,53.73857142857143,4.598571428571428,140.28571428571428
39,Javier Assad,24,88.05392857142857,2013.6464285714285,6.5925,-1.6985,53.909214285714285,5.9335,172.31071428571428
40,Nick Avila,24,89.27622950819672,2263.1311475409834,6.158196721311475,-1.5725409836065574,54.34065573770492,6.112377049180328,160.00819672131146
41,Pedro Avila,24,86.69444444444444,2225.1349206349205,6.407142857142857,-0.9175396825396825,54.09230158730159,5.820079365079366,155.23809523809524
42,Bryan Baker,24,89.36,2174.4,6.42,-0.694,54.077,6.687,172.5
43,Trent Baker,24,,,,,,,
44,Jordan Balazovic,24,90.11,1951.7,6.35,-2.2199999999999998,54.146,6.09,205.7
45,Anthony Banda,24,92.46486486486486,2027.2972972972973,6.278378378378378,2.437027027027027,54.21729729729729,5.60945945945946,154.21621621621622
46,Tanner Banks,24,88.11203007518797,2278.375939849624,6.073684210526316,2.8169172932330824,54.429548872180455,6.204060150375939,200.9624060150376
47,Scott Barlow,24,82.68827160493827,2376.543209876543,6.869753086419753,-1.7975925925925924,53.630432098765425,5.079938271604939,120.75925925925925
48,Jacob Barnes,24,,,,,,,
49,Matt Barnes,24,85.68445945945946,1852.945945945946,6.751351351351351,-1.632972972972973,53.75195945945946,6.469256756756757,138.7972972972973
50,Zach Barnes,24,,,,,,,
51,Jaime Barria,24,87.39583333333333,2076.027777777778,6.011111111111111,-1.9229166666666666,54.48416666666667,6.419583333333333,177.41666666666666
52,Andrew Bash,24,,,,,,,
53,Chris Bassitt,24,86.00902527075812,2126.1805054151623,6.3803249097472925,-1.45942238267148,54.118971119133576,5.660992779783394,177.22743682310468
54,Tyler Baum,24,89.92,1703.4,5.840000000000001,0.30866666666666664,54.65533333333334,6.0953333333333335,209.33333333333334
55,Mike Baumann,24,91.9895061728395,2326.283950617284,6.637037037037038,-1.6712962962962963,53.86265432098765,6.179074074074074,149.3827160493827
56,Jarod Bayless,24,,,,,,,
57,David Bednar,24,91.45248226950353,2374.4142857142856,6.668085106382979,-1.8579432624113472,53.83262411347518,6.021418439716312,172.47857142857143
58,Tyler Beede,24,87.05604395604396,1605.3956043956043,6.400549450549451,-1.893901098901099,54.0993956043956,5.294615384615384,208.3131868131868
59,Jalen Beeks,24,92.06202531645569,2161.1548387096773,6.6791139240506325,0.7889873417721519,53.82221518987342,5.984683544303798,150.76774193548388
60,Clayton Beeter,24,91.00675675675676,2450.689189189189,5.754054054054055,-0.908918918918919,54.74959459459459,6.284594594594594,148.56756756756758
61,Jeff Belge,24,89.17999999999999,2430.2,6.44,0.8620000000000001,54.04600000000001,6.7219999999999995,200.6
62,Andrew Bellatti,24,90.43157894736842,2424.964912280702,5.914035087719299,-1.62,54.59508771929825,5.456315789473684,196.8421052631579
63,Brayan Bello,24,90.65786026200874,2000.142857142857,6.405482456140351,-1.8372270742358079,54.09524017467249,5.159126637554586,198.83736263736265
64,Anthony Bender,24,92.31420118343196,2327.9881656804732,6.100591715976331,-1.4642603550295858,54.39923076923076,5.474378698224852,190.6153846153846
65,Jorge Benitez,24,,,,,,,
66,Denny Bentley,24,,,,,,,
67,Trey Benton,24,,,,,,,
68,Brennan Bernardino,24,85.14074074074074,2398.962962962963,5.896296296296296,3.095679012345679,54.60283950617284,4.921481481481481,218.02469135802468
69,José Berríos,24,89.06244541484716,2131.482288828338,6.512638580931263,-2.037052401746725,53.990436681222704,5.684497816593886,161.79291553133515
70,Tanner Bibee,24,88.3,2390.997716894977,6.625342465753425,-2.190730593607306,53.873310502283104,6.308926940639269,156.26712328767124
71,Phil Bickford,24,89.54594594594595,2131.837837837838,6.802702702702702,-2.425135135135135,53.70162162162162,4.925135135135135,201.78378378378378
72,Shane Bieber,24,88.42710843373494,2238.843373493976,6.705421686746988,-1.5521084337349396,53.79487951807229,5.732530120481928,170.81927710843374
73,Brandon Bielak,24,87.97675675675676,2244.7351351351354,5.623243243243243,-0.997945945945946,54.877027027027026,6.193675675675675,178.98918918918918
74,Hunter Bigge,24,91.54545454545455,2342.181818181818,6.754545454545454,-0.9681818181818183,53.75,5.714545454545455,134.63636363636363
75,Jake Bird,24,90.40822784810126,2332.493670886076,6.010126582278481,-2.3351898734177214,54.49544303797469,5.415253164556962,174.29113924050634
76,Spencer Bivens,24,,,,,,,
77,Ty Blach,24,,,,,,,
78,Paul Blackburn,24,86.78427299703264,2218.2848664688427,6.257566765578636,-2.0245994065281896,54.24032640949555,6.044896142433235,152.61424332344214
79,Nolan Blackwood,24,,,,,,,
80,Ronel Blanco,24,88.85284090909092,1973.3551136363637,6.803409090909091,-1.0520454545454545,53.69704545454545,6.019261363636364,208.89488636363637
81,Richard Bleier,24,,,,,,,
82,Scott Blewett,24,93.7421052631579,2098.5789473684213,6.968421052631579,-1.2594736842105263,53.53315789473684,6.3510526315789475,210.26315789473685
83,Cody Bolton,24,88.77733333333333,2391.213333333333,6.132,-2.8176,54.36653333333333,5.422533333333333,158.92
84,Cam Booser,24,91.41111111111111,2104.277777777778,6.694444444444445,2.5838888888888887,53.80777777777777,5.566111111111111,191.05555555555554
