,Name,Year,release_speed,release_spin_rate,release_extension
0,Andrew Abbott,24,94.9,3002,7.2
1,Alaska Abney,24,88.5,2416,7.2
2,Bryan Abreu,24,98.6,3196,7.4
3,Jason Adam,24,97.4,2994,7.4
4,Austin Adams,24,95.8,3230,6.7
5,Joan Adon,24,95.9,2330,7.6
6,Melvin Adón,24,99.0,2844,6.3
7,Zach Agnos,24,,,
8,Keegan Akin,24,95.4,2755,6.3
9,Jorge Alcala,24,99.2,2632,6.4
10,Tyler Alexander,24,91.1,2938,7.1
11,Peyton Alford,24,90.8,2276,5.8
12,Kolby Allard,24,91.2,2213,6.3
13,Logan Allen,24,93.7,2804,6.8
14,Yency Almonte,24,96.3,2839,7.2
15,Dan Altavilla,24,,,
16,Elvis Alvarado,24,98.3,2381,5.8
17,José Alvarado,24,101.0,2373,7.3
18,Nelson L. Alvarez,24,94.6,2466,6.6
19,Adbert Alzolay,24,96.7,2786,7.0
20,Chase Anderson,24,94.8,2595,6.1
21,Drew Anderson,24,97.8,2905,6.7
22,Grant Anderson,24,94.1,2570,6.9
23,Justin Anderson,24,97.3,2548,7.3
24,Nick Anderson,24,96.2,2277,6.4
25,Tyler Anderson,24,92.4,2549,7.0
26,Clayton Andrews,24,94.6,2819,5.7
27,Tanner Andrews,24,,,
28,Matt Andriese,24,92.9,2749,6.6
29,Tejay Antone,24,95.3,2785,6.6
30,Luis Arejula,24,,,
31,Luarbert Arias,24,94.2,2334,6.2
32,Michael Arias,24,,,
33,Shawn Armstrong,24,95.9,2752,7.3
34,Spencer Arrighetti,24,96.7,3029,8.1
35,Konnor Ash,24,92.7,2122,5.8
36,Aaron Ashby,24,95.3,3311,5.4
37,Graham Ashcraft,24,100.0,3074,6.1
38,Keyshawn Askew,24,93.8,2275,7.1
39,Javier Assad,24,95.2,2613,7.0
40,Nick Avila,24,96.6,2568,6.8
41,Pedro Avila,24,96.6,2994,7.1
42,Bryan Baker,24,97.7,2369,6.7
43,Trent Baker,24,,,
44,Jordan Balazovic,24,95.6,2345,6.6
45,Anthony Banda,24,96.9,2287,6.5
46,Tanner Banks,24,95.3,2555,6.5
47,Scott Barlow,24,94.2,2963,7.7
48,Jacob Barnes,24,96.7,2725,7.1
49,Matt Barnes,24,93.9,2305,7.3
50,Zach Barnes,24,,,
51,Jaime Barria,24,94.9,2421,6.2
52,Andrew Bash,24,,,
53,Chris Bassitt,24,95.8,2529,7.0
54,Jake Bauers,24,73.4,1761,4.5
55,Tyler Baum,24,95.9,1981,6.0
56,Mike Baumann,24,98.6,2596,7.1
57,Jarod Bayless,24,,,
58,Eduard Bazardo,24,94.9,2716,6.4
59,David Bednar,24,98.2,2679,7.6
60,Tyler Beede,24,96.2,2283,6.8
61,Jalen Beeks,24,96.9,2821,7.7
62,Clayton Beeter,24,96.9,2937,6.1
63,Jeff Belge,24,93.4,2720,6.5
64,Andrew Bellatti,24,95.4,2671,6.1
65,Brayan Bello,24,98.0,2531,7.1
66,Anthony Bender,24,98.1,2909,6.7
67,Jorge Benitez,24,,,
68,Denny Bentley,24,,,
69,Trey Benton,24,,,
70,Brennan Bernardino,24,94.4,2870,7.0
71,Prelander Berroa,24,95.0,2461,6.2
72,José Berríos,24,96.4,2568,7.7
73,Tanner Bibee,24,97.3,3033,7.2
74,Phil Bickford,24,92.9,2342,7.2
75,Osvaldo Bido,24,96.4,2481,6.5
76,Shane Bieber,24,93.7,2603,7.2
77,Brandon Bielak,24,93.7,2649,6.3
78,Hunter Bigge,24,98.8,2441,6.9
79,Jake Bird,24,97.8,3114,6.8
80,Spencer Bivens,24,,,
81,Ty Blach,24,91.3,2519,5.5
82,Mason Black,24,94.3,2656,7.2
83,Paul Blackburn,24,94.8,2849,7.0
84,Nolan Blackwood,24,,,
85,Ronel Blanco,24,95.9,2395,7.6
86,Richard Bleier,24,,,
87,Scott Blewett,24,98.1,2496,7.3
88,Cody Bolton,24,97.3,2837,7.0
89,Cam Booser,24,98.3,2288,7.2
90,Ryan Borucki,24,96.4,2506,7.2
91,Ryan Bourassa,24,92.2,2386,6.5
92,Caleb Boushley,24,92.3,2441,6.2
93,Ben Bowden,24,,,
94,Jonathan Bowlan,24,98.5,2649,6.9
95,Kaleb Bowman,24,93.3,2392,6.8
96,Matt Bowman,24,93.8,2802,7.8
97,Ryan Boyer,24,92.3,2066,6.7
98,Joe Boyle,24,99.6,2829,7.5
99,Cody Bradford,24,92.9,2273,8.7
100,Kyle Bradish,24,98.1,2862,6.8
101,Taj Bradley,24,99.2,2702,6.9
102,Ryan Brady,24,,,
103,Stevie Branche,24,,,
104,Ryan Brasier,24,96.1,2631,7.2
105,John Brebbia,24,96.4,2884,7.1
106,Jake Brentz,24,,,
107,Colten Brewer,24,96.3,3076,6.8
108,Michael Brewer,24,,,
109,Austin Brice,24,95.3,3074,5.9
110,Beau Brieske,24,98.3,2613,6.5
111,Jeff Brigham,24,96.0,3056,6.2
112,Jhony Brito,24,99.1,2377,6.9
113,Rio Britton,24,,,
114,Connor Brogdon,24,94.2,2553,7.5
115,Aaron Brooks,24,,,
116,Ben Brown,24,98.6,2602,7.4
117,Hunter Brown,24,98.1,2757,7.1
118,Justin Bruihl,24,,,
119,David Buchanan,24,93.0,2709,6.3
120,Walker Buehler,24,97.6,2913,6.8
121,J.B. Bukauskas,24,95.0,2676,6.2
122,Aaron Bummer,24,95.3,2735,7.0
123,Nick Burdi,24,99.9,3046,6.7
124,Juan Burgos,24,,,
125,Brock Burke,24,96.8,2405,7.8
126,Corbin Burnes,24,97.8,3304,6.9
127,Tanner Burns,24,,,
128,Alan Busenitz,24,,,
129,Ty Buttrey,24,,,
130,José Buttó,24,96.1,2851,7.3
131,Michael Byrne,24,,,
132,Edward Cabrera,24,97.9,2806,7.4
133,Génesis Cabrera,24,97.7,2532,6.4
134,Isaiah Campbell,24,95.5,2913,6.9
135,Griffin Canning,24,95.1,2828,6.7
136,Jonathan Cannon,24,96.3,2772,6.6
137,Yennier Cano,24,97.7,3296,7.2
138,Matt Carasiti,24,95.5,2187,6.6
139,Sam Carlson,24,95.6,2370,6.9
140,Carlos Carrasco,24,93.8,3063,7.5
141,Brad Case,24,,,
142,Blas Castano,24,95.2,2598,5.6
143,Humberto Castellanos,24,,,
144,Diego Castillo,24,,,
145,José Castillo,24,,,
146,Luis Castillo,24,97.8,2896,6.6
147,Max Castillo,24,92.8,2436,6.6
148,Miguel Castro,24,97.4,2970,7.7
149,Willi Castro,24,72.8,1755,4.9
150,Dylan Cease,24,99.6,3127,7.1
151,Slade Cecconi,24,98.5,2777,7.0
152,Brendan Cellucci,24,95.4,2455,7.0
153,Felix Cepeda,24,,,
154,Luis Cessa,24,,,
155,Andrew Chafin,24,94.0,2821,7.2
156,Dakota Chalmers,24,,,
157,Aroldis Chapman,24,103.0,2531,8.1
158,Wandisson Charles,24,,,
159,Jesse Chavez,24,91.7,2772,7.0
160,Yonny Chirinos,24,94.6,2470,6.2
161,Jack Choate,24,,,
162,Marc Church,24,,,
163,Adam Cimber,24,88.4,3104,6.9
164,José Cisnero,24,98.0,2764,6.9
165,Aaron Civale,24,94.6,3308,6.2
166,Chris Clarke,24,,,
167,Taylor Clarke,24,,,
168,Emmanuel Clase,24,101.4,2755,7.0
169,Garrett Cleavinger,24,98.3,3058,7.1
170,Nolan Clenney,24,93.8,2289,6.4
171,Mike Clevinger,24,96.5,2565,7.2
172,Trevor Clifton,24,94.5,2258,5.9
173,Franny Cobos,24,,,
174,Dylan Coleman,24,95.3,2457,7.5
175,Jeffrey Colon,24,95.1,2688,6.5
176,Efrain Contreras,24,93.2,2650,6.5
177,Luis Contreras,24,94.8,2705,7.1
178,Roansy Contreras,24,96.8,2870,6.8
179,Connor Cooke,24,95.5,2812,6.0
180,Patrick Corbin,24,93.8,2515,7.5
181,Joshua Cornielly,24,96.8,2377,7.0
182,Alex Cornwell,24,94.6,2518,6.3
183,Danis Correa,24,,,
184,Nestor Cortes,24,94.6,2731,6.8
185,Tom Cosgrove,24,92.5,2914,6.6
186,Cameron Cotter,24,,,
187,Danny Coulombe,24,92.7,2886,6.4
188,Jake Cousins,24,95.9,2960,7.4
189,Kutter Crawford,24,94.8,2615,6.8
190,Nabil Crismatt,24,92.5,2411,7.3
191,Cooper Criswell,24,91.1,2802,7.8
192,Garrett Crochet,24,99.8,2827,8.1
193,Declan Cronin,24,96.1,2920,7.1
194,Hans Crouse,24,,,
195,Fernando Cruz,24,96.4,2653,7.5
